,article,name,picture,tag,time,title,url
117,"Индийская компания GRSE заложила кили четвертого большого гидрографического судна SVL, а также второго и третьего противолодочных кораблей для мелководного фарватера (ASW-SWC), предназначенных для ВМС Индии, сообщает , (ЦАМТО).,«Соглашение на строительство восьми кораблей ASW-SWC МО Индии заключило с компанией GRSE 29 апреля 2019 года. Его стоимость составила 63,11 млрд. рупий (около $901,5 млн на день заключения). Днем позднее МО Индии заключило контракт на постройку 8 кораблей ASW-SWC с компанией Cochin Shipyard Limited», — пишет ЦАМТО.,Сообщается, что корабли ASW-SWC будут применяться для противолодочной борьбы в прибрежных водах, ведения разведки, постановки мин. Они также могут использоваться для поисково-спасательных операций и в конфликтах низкой интенсивности.,Ранее Индия , 12 патрульных катеров Вьетнаму. До этого ВМС Индии , к выводу из состава флота и списанию два боевых корабля советской постройки — INS Nishank и INS Akshay.,Корвет INS Nishank класса Veer был построен в 1989 году на Судостроительном заводе «Вымпел» в Рыбинске по проекту 1241 «Молния» и оставался последним кораблем этого проекта советской постройки на вооружении ВМС Индии — еще четыре были списаны в 2016–2018 годах. INS Akshay был построен на Ярославском судостроительном заводе в 1990 году по проекту малого противолодочного корабля 21412. В отличие от корвета вооружен реактивным бомбометом РБУ-1200 «Уран», предназначенным для уничтожения подводных лодок.",gazeta-ru,https://img.gazeta.ru/files3/959/12014959/Depositphotos_25475973_l-2015-pic905-895x505-37136.jpg,army,2022-06-23 15:46:22,Индия заложила два противолодочных корабля и исследовательское судно ,https://www.gazeta.ru/army/news/2022/06/23/17992214.shtml>
138,"
Очень серьезно задумался Дуда, что не мудрено — провести грамотную атаку сейчас сходу будет непросто.,
Конь е5 от Яна!,
К агрессивным действиям постепенно переходит Непомнящий, двигая свои пешки вперед.,
Ставит после небольших раздумий поляк коня на d7 — будет насыщать он центр доски. А Ян, видимо, будет стараться пробивать оборону черных через фланги.,
Вынужден Дуда двигать слона на левый край, наполняется доска в четвертом квадрате различными фигурами.,
Пешкой на d5 отвечает Дуда, а Ян оголяет поле g, выдвигая на третью клетку пешку!,
, Конь на f3 ставит Непомнящий, Дуда совершенно не ожидал подобного!,
Ян начинает сегодня белыми фигурами.,
",gazeta-ru,https://img.gazeta.ru/files3/301/14250301/upload-20190716_gaf_u56_889-pic_32ratio_900x600-900x600-74936.jpg,sport,2022-06-23 15:46:38,Остаться первым: Непомнящий играет с Дудой на турнире претендентов. LIVE ,https://www.gazeta.ru/sport/2022/06/23/15024812.shtml>
294,"  Владимир Путин   на XIV саммите БРИКС, темой которого стало ""Укрепление высококачественного партнерства БРИКС, вступающего в новую эру глобального развития"". На встрече председательствует  , который представил  , также в заседании приняли участие лидеры остальных стран объединения: президент    , премьер-министр    , президент   Сирил Рамафоза. В своем выступлении Путин подчеркнул, что тема саммита этого года особо актуальна, так как транснациональный характер вызовов, стоящих перед мировым сообществом, требует поиска коллективных ответов. Российский лидер напомнил, что государства — члены ""пятерки"" обладают огромным политическим, экономическим, научно-технологическим и людским потенциалом, чтобы совместно эффективно работать над обеспечением международной безопасности, стабильности и устойчивого развития. По его словам, сейчас лидерство стран   в формировании многополярного мира, основанного на международном праве, востребовано как никогда. В заключение Путин подчеркнул, что   готова и далее развивать ""тесное многоплановое взаимодействие"" со всеми участниками БРИКС и вносить свой вклад в повышение роли объединения в международных делах.",ria-ru,https://cdnn21.img.ria.ru/images/07e6/06/17/1797614658_0:7:3090:1745_1920x0_80_0_0_e769c608c764c297ad48a0d06c3b3990.jpg,"В мире,Си Цзиньпин,Жаир Болсонару,Нарендра Моди,Китай,Бразилия,Индия,БРИКС",2022-06-23 15:47:00,Путин выступил на саммите БРИКС,https://ria.ru/20220623/brics-1797602081.html
76,"Заммэра Ракова: москвичи активно получают в коммерческих аптеках льготные лекарства В начале 2022 года у жителей   появилась возможность получить льготные лекарства по электронным рецептам не только в городских, но и в коммерческих аптеках с доплатой. При этом горожане теперь могут выбрать препарат конкретного производителя и доплатить лишь разницу в цене. Как рассказала заммэра столицы  , новый способ стал популярен у москвичей — 30 процентов электронных рецептов в рамках проекта клиенты аптек получили именно так. Для того чтобы стать участниками системы льготного лекарственного обеспечения, аптеке необходимо иметь действующую лицензию на осуществление фармацевтической деятельности в Москве и подключиться к Единой медицинской информационно-аналитической системе. Кроме того, у организации не должно быть проблем с законом, в частности — проверок, проводимых за нарушение действующего законодательства, административных либо уголовных дел и процедур банкротства. Желающие стать частью проекта аптеки должны ежедневно обеспечивать наличие препаратов и передавать сведения об их наличии и реализации в рамках обслуживания электронных рецептов в систему ЕМИАС. Компенсация стоимости лекарств, отпущенных по льготным рецептам, для аптек осуществляется за счет средств городского бюджета. Полный список частных аптек, в которых можно бесплатно получить лекарства по льготному рецепту, доступен на   Департамента здравоохранения города Москвы, в электронной медкарте в разделе «Мои рецепты» на портале mos.ru и в мобильном приложении «ЕМИАС.ИНФО», а также в информационном киоске поликлиники. Генеральный директор аптечной сети «36,6»   рассказал, что его компания присоединилась к проекту легко, а покупатели рады возможности выбора в ставших доступными аптеках. «Главная цель нашего участия — социальная поддержка граждан, возможность оказать помощь. Благодаря проекту москвичи могут получить лекарство в аптеке как совершенно бесплатно — согласно выданному электронному рецепту, так и выбрать конкретный препарат, и забрать его, доплатив разницу в цене», — отметил он. Как добавили в соцкомплексе, Москва на протяжении десяти лет занимается цифровизацией системы здравоохранения. На данный момент основой этого процесса является единая цифровая платформа, которая обеспечивает персонифицированное ведение каждого пациента на всех этапах — от постановки диагноза, лечения и до последующего наблюдения. Все протоколы и изображения, сделанные сервисом искусственного интеллекта, также добавляются в электронную медицинскую карту, доступную на портале mos.ru и в мобильном приложении «ЕМИАС.ИНФО».",lenta-ru,https://icdn.lenta.ru/images/2022/06/23/12/20220623122804121/owl_detail_240_e4531ef3c0b8162df7e71fca1eac5802.jpeg,Россия,2022-06-23 15:47:00,Новый способ получения льготы стал популярен у москвичей,https://lenta.ru/news/2022/06/23/apteki/>
144,"Мертвого хамелеона нашла россиянка в пачке с овощной смесью. О случившемся рассказала в своем , блогер Алеся Стародубова.,В посте был скриншот с фотографией рептилии. В комментариях подписчики отреагировали негативно: «Боже мой», «Вот это экзотика. Бедный…», «После такого овощи боязно покупать будет».,Одна из подписчиц также рассказала о своих неожиданных находках в продуктах. «В банке с консервированным горошком попался колорадский жук. В пакете сухого лаврового листа нашла плоского сухого богомола», — написала женщина.,Ранее в Роскачестве , продукты, чаще всего содержащие в себе следы пестицидов.",gazeta-ru,https://img.gazeta.ru/files3/419/14216419/upload-09-pic_32ratio_900x600-900x600-90994.jpg,social,2022-06-23 15:47:12,Россиянке попался замороженный хамелеон в упаковке замороженной овощной смеси ,https://www.gazeta.ru/social/news/2022/06/23/17992196.shtml>
147,"Таежная отшельница , написала письмо президенту России Владимиру , с просьбой навестить ее. Об этом сообщает , со ссылкой на предстоятеля Русской православной старообрядческой церкви (РПСЦ) митрополита Московского и всея Руси Корнилия.,«Совсем недавно у нее были, дом освятили, который построили.  Она очень радушно нас принимает, молится о нас, вот даже ожидает приезд президента. Она за него молится, даже письмо ему написала — может, получится [приехать]», — сказал он.,По словам митрополита, 78-летняя Лыкова являет «образец святости» и не перестает принимать посетителей, в том числе молодых людей, которые узнают от нее о староверах.,Агафья Лыкова — единственная оставшаяся в живых представительница семьи староверов, которых геологи нашли в 1978 году в Западных Саянах.,Осенью прошлого года в доме отшельницы в Хакасском заповеднике ,, сама Лыкова не пострадала.",gazeta-ru,https://img.gazeta.ru/files3/39/12091039/RIAN_3314205.HR-pic_32ratio_900x600-900x600-98520.jpg,social,2022-06-23 15:47:42,Отшельница Агафья Лыкова обратилась к Путину ,https://www.gazeta.ru/social/news/2022/06/23/17992118.shtml>
129,"Первый официальный портрет герцога и герцогини Кембриджских был представлен в Великобритании. Об этом сообщает ,.,В музее Фицуильяма в Кембридже был представлен первый официальный портрет , и , авторства художника Джейми Коре. Герцогиня Кембриджская изображена в изумрудном платье The Vampire's Wife, креативным директором которого выступает жена певца Ника Кейва — Сьюзи Бик. Монаршая особа впервые «выгуляла» его во время турне по Ирландии в марте 2020 года.,Образ дополнили туфли Manolo Blahnik и несколько семейных реликвий — жемчужная брошь королевы Великобритании ,, а также серьги и браслет принцессы ,.,Ранее «Газета.Ru» , о том, что князь Монако Альбер II приобнял княгиню Шарлен во время нового выхода в свет.",gazeta-ru,https://img.gazeta.ru/files3/336/15029336/portr-pic_32ratio_900x600-900x600-4897.jpg,style,2022-06-23 15:47:44,В Великобритании представили первый официальный портрет Кейт Миддлтон и принца Уильяма ,https://www.gazeta.ru/style/news/2022/06/23/17991998.shtml>
80,"Лидер правящей в Италии партии «Лига» Сальвини выступил против поставок оружия Киеву Лидер правящей в Италии партии «Лига» Маттео Сальвини выступил против новых поставок оружия  . Об этом   радиостанция RTL. «Помочь Украине защититься было целью всего мира с первой минуты (конфликта). Мы находимся на четвертом месяце войны, теперь уже большая часть стран мира и подавляющее большинство итальянцев считают, что говорить следует дипломатии, что самым сильным оружием вновь становится диалог… Поставки оружия до последнего — это, конечно, не решение проблемы», — сказал политик. По словам Сальвини, продолжение конфликта на Украине станет катастрофой для пострадавших в ходе боевых действий беженцев и итальянских рабочих. «Тот, кто говорит о войне и оружии, ставит под угрозу сотни тысяч рабочих мест в Италии», — подчеркнул он. Ранее итальянский сенат   резолюцию по украинскому кризису. Вопрос поставок вооружений Украине отражен в тексте резолюции в «формулировке о широком вовлечении парламента» в одобрение новых военных поставок. Документ одобрили 219 голосами за при 20 против и 22 воздержавшихся.",lenta-ru,https://icdn.lenta.ru/images/2022/06/23/15/20220623154412969/owl_detail_240_8c67c797aa9cb93963d9192f76ee20a2.jpg,Мир,2022-06-23 15:50:00,В Италии выступили против поставок оружия Киеву,https://lenta.ru/news/2022/06/23/italy_/>
130,"Чтобы избежать негативной реакции организма на гормональные контрацептивы, женщины не должны принимать их без назначения врача. Об этом «Газете.Ru» сообщила акушер-гинеколог «СМ-Клиники» Виктория Фисюк.,«Очень опасны кратковременные контрацептивы, применяемые экстренно. Их так и называют – «средства экстренной контрацепции». Нужно понимать, что они агрессивно действуют на организм: одна таблетка полностью меняет гормональный фон, готовность организма к беременности в противоположную сторону», — предупредила гинеколог.,Как добавила врач, гормональные контрацептивы противопоказаны женщинам, у которых есть склонность к тромбозам или пациенткам, которые страдают мигренями.,«При многих онкологических заболеваниях гормональные контрацептивы будут являться противопоказанием, поскольку существуют так называемые гормонозависимые опухоли, при лечении которых используется гормональная терапия, которая может не сочетаться с гормональными контрацептивами», — объяснила врач.,Перед тем, как принимать гормональные препараты, нужно посетить профильного специалиста и пройти обследования. Гинеколог назначит препарат, исходя из индивидуальных особенностей организма женщины.,Ранее , о четырех продуктах для женского здоровья.",gazeta-ru,https://img.gazeta.ru/files3/972/14987972/pexels-photo-4047182-pic_32ratio_900x600-900x600-73572.jpg,family,2022-06-23 15:50:36,"Врач рассказала, кому опасно принимать гормональные контрацептивы ",https://www.gazeta.ru/family/news/2022/06/23/17991980.shtml>
81,"Роскачество: доля фальсификата в российском мороженом составила 18 процентов Эксперты Роскачества проверили рынок российского пломбира и сделали вывод, что качество продукта в целом стало гораздо хуже по сравнению с прошлыми годами. Об этом говорят материалы исследования,   на сайте организации. Оценить удалось более 70 процентов рынка, доля фальсификата среди этого объема достигла 18 процентов. Число случаев обнаружения кишечной палочки оказалось в шесть раз больше, чем в 2018 году, когда проводилось первое исследование. Помимо снижения уровня контроля, производители обманывают покупателей относительно содержания белка в пломбире. Такое обстоятельство говорит о замене части сырья на дешевые компоненты. Замечания по вкусу, запаху и цвету возникли к большинству исследованных образцов. Лучшим пломбиром, который выпускают в России, названа марка «Свiтлогорье», остальные продукты полученный ранее знак качества не подтвердили. Также в первую тройку попали Movenpick и «Гроспирон». Внизу рейтинга расположились «Вологодский пломбир», «Городецкий», «ГОСТОВский», «Как раньше», «Лента», «Мариайс», «Маруся», «Пломбир на сливках» и «Филевский стаканчик». Все они получили ноль баллов из-за критических нарушений.",lenta-ru,https://icdn.lenta.ru/images/2022/06/23/15/20220623152246383/owl_detail_240_74827147019822a90169d1b166beab7b.jpg,Экономика,2022-06-23 15:51:00,Российский пломбир стал гораздо хуже,https://lenta.ru/news/2022/06/23/plombir/>
